row_id,timestamp,year,month,day_of_year,hour,minute,asset_type,plant_id,asset_level,hub_id,block_id,wind_farm_id,turbine_group_id,capacity_mw,horizon,horizon_minutes,business_use_case,business_name,model_family,uncertainty_method,train_split,actual_mw,possible_power_mw,scheduled_mw,local_limit_mw,control_setpoint_mw,availability_pct,scada_quality,scada_latency_seconds,curtailment_status,ramp_rate_mw_min,ghi_wm2,poa_wm2,dni_wm2,ambient_temp_c,module_temp_c,cloud_cover_pct,cloud_obstruction_probability,sky_camera_cloud_motion_deg,humidity_pct,pressure_hpa,hub_height_wind_speed_ms,wind_direction_deg,turbulence_intensity,nacelle_wind_speed_ms,lidar_upstream_wind_ms,wake_loss_pct,air_density_kg_m3,nwp_ghi_forecast_wm2,nwp_wind_speed_100m_ms,nwp_wind_direction_deg,nwp_cloud_cover_pct,nwp_temperature_c,nwp_pressure_hpa,nwp_ensemble_member_id,nwp_issue_lag_hours,target_actual_mw_horizon,forecast_p10_mw,forecast_p50_mw,forecast_p90_mw,residual_mw,absolute_error_mw,normalized_error_pct,inside_p10_p90,event_label,event_probability,root_cause,event_severity,model_confidence_pct,learned_residual_bias_mw,learned_uncertainty_scale,learned_regime_id,feature_importance_top1,feature_importance_top2,sample_weight
240000,2017-07-29 14:45:00,2017,7,210,14,45,solar,SOL_PAVAGADA,block,PAV_HUB_4,PAV_S6_B01,,,50.0,2hour,120,intraday_reserve_planning,Intraday forecast / reserve planning,physical_weather_to_power_gaussian_residual,gaussian_residual_band,train,27.3003,30.8492,29.8062,55.0,38.223,93.234,GOOD,34,NONE,0.15087,623.292,681.806,363.801,35.72,52.164,23.734,0.1166,221.431,27.457,1005.701,,,,,,,1.134,599.376,,,20.244,35.895,1001.164,2,1,45.922,41.2154,43.7466,46.2778,2.1754,2.1754,4.3507,1,normal,0.0263,normal,NORMAL,85.299,0.4829,1.05,solar_clear_or_mixed,poa_wm2,cloud_obstruction_probability,1.0
240001,2017-04-02 22:55:00,2017,4,92,22,55,wind,WND_GADAG_CLUSTER,block,,,GADAG_F1,GADAG_F1_TG05,20.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,0.8199,0.8149,8.4425,22.0,20.4789,95.851,GOOD,31,NONE,0.31849,,,,19.831,,,,,74.222,1006.535,6.232,276.717,0.1954,5.966,6.202,12.047,1.1965,,6.656,254.534,,19.629,1006.248,3,2,6.4252,3.9287,5.1555,6.3822,1.2697,1.2697,6.3487,0,wind_ramp_up,0.9322,weather,WATCH,76.303,-0.7021,1.3563,wind_ramp_up,hub_height_wind_speed_ms,wake_loss_pct,2.5
240002,2021-12-11 20:30:00,2021,12,345,20,30,wind,WND_GADAG_CLUSTER,hub,,,GADAG_F3,GADAG_F3_TG07,140.0,30min,30,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,5.5834,5.8355,57.6093,63.2104,63.2104,98.745,GOOD,15,CONFIRMED,0.67193,,,,9.387,,,,,55.976,1016.411,6.277,264.374,0.2091,5.98,6.541,13.684,1.2529,,6.151,292.783,,7.612,1014.569,11,0,28.1462,14.9774,23.6858,32.3942,4.4604,4.4604,3.186,1,grid_curtailment_plateau,0.7391,grid_constraint,ALERT,82.628,-1.0151,1.3625,grid_curtailment_plateau,hub_height_wind_speed_ms,local_limit_mw,2.5
240003,2020-04-16 23:50:00,2020,4,107,23,50,solar,SOL_PAVAGADA,block,PAV_HUB_1,PAV_S8_B01,,,50.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,2.6968,2.8787,0.0,55.0,42.1997,95.771,GOOD,16,NONE,-0.02654,55.586,57.574,37.138,20.272,22.226,4.392,0.0056,330.494,62.831,1004.257,,,,,,,1.192,47.19,,,0.0,22.932,1008.089,19,1,0.7921,0.0293,2.3048,4.5802,-1.5127,1.5127,3.0254,1,normal,0.0984,normal,NORMAL,87.949,-0.0375,1.0062,solar_clear_or_mixed,poa_wm2,cloud_obstruction_probability,1.0
240004,2021-11-16 11:35:00,2021,11,320,11,35,solar,SOL_PAVAGADA,block,PAV_HUB_8,PAV_S8_B03,,,50.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,32.0126,33.6714,39.933,55.0,44.6021,95.565,GOOD,12,NONE,-0.03541,697.496,711.405,448.135,24.496,40.253,13.228,0.1982,247.082,47.117,1008.142,,,,,,,1.1796,710.993,,,10.819,25.357,1006.905,3,1,32.3679,29.6084,31.8838,34.1593,0.4841,0.4841,0.9682,1,normal,0.1331,normal,NORMAL,92.064,1.85,1.0062,solar_clear_or_mixed,poa_wm2,cloud_obstruction_probability,1.0
240005,2025-09-15 19:55:00,2025,9,258,19,55,solar,SOL_PAVAGADA,hub,PAV_HUB_4,PAV_S6_B03,,,250.0,8day,11520,weekly_planning_outlook,Medium-range planning outlook,ensemble_analog_climatology_band,scenario_band,test,0.0,0.0,0.0,275.0,248.9598,86.939,GOOD,9,NONE,-1.39142,0.0,0.0,0.0,19.43,20.331,53.363,0.4976,232.044,31.227,1017.678,,,,,,,1.2114,0.0,,,29.074,19.24,1019.001,14,6,0.0,0.0,0.0,250.0,0.0,0.0,0.0,1,inverter_derating,0.8389,equipment,WATCH,89.0,0.0142,4.5,inverter_derating,poa_wm2,cloud_obstruction_probability,2.5
240006,2022-05-19 13:50:00,2022,5,139,13,50,solar,SOL_PAVAGADA,block,PAV_HUB_1,PAV_S7_B01,,,50.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,38.8675,39.5139,36.3454,55.0,44.5853,98.09,GOOD,17,NONE,-0.18616,907.403,868.199,669.28,33.297,50.643,10.192,0.042,211.552,48.306,1008.18,,,,,,,1.1458,875.2,,,0.0,32.696,1005.223,8,1,35.0242,34.4503,36.7257,39.0012,-1.7016,1.7016,3.4031,1,normal,0.1364,normal,NORMAL,87.194,-0.7075,1.0062,solar_clear_or_mixed,poa_wm2,cloud_obstruction_probability,1.0
240007,2021-11-07 12:20:00,2021,11,311,12,20,solar,SOL_PAVAGADA,block,PAV_HUB_1,PAV_S1_B03,,,50.0,5min,5,real_time_ramp_warning,Real-time nowcast / control-room forecast,persistence_ramp_rate_correction,empirical_residual_band,train,28.5982,31.1063,37.408,55.0,42.1643,98.558,GOOD,18,NONE,0.20663,654.57,675.581,415.308,27.871,47.607,33.768,0.3416,227.2,31.151,1003.552,,,,,,,1.1611,671.935,,,38.889,25.882,1008.96,18,0,30.9029,27.7658,30.0175,32.2693,0.8853,0.8853,1.7706,1,normal,0.0403,normal,NORMAL,90.459,1.2443,1.0021,solar_clear_or_mixed,actual_mw,cloud_obstruction_probability,1.25
240008,2019-07-07 14:25:00,2019,7,188,14,25,wind,WND_GADAG_CLUSTER,block,,,GADAG_F3,GADAG_F3_TG04,20.0,30min,30,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,0.2487,0.2567,9.0837,22.0,18.1367,98.719,GOOD,29,NONE,-0.02925,,,,36.811,,,,,44.51,1020.684,5.129,33.964,0.1471,4.573,5.421,3.054,1.1468,,5.668,71.032,,35.454,1021.489,20,0,0.0,0.0,0.0,0.9245,0.0,0.0,0.0,1,normal,0.1065,normal,NORMAL,94.0,-0.3968,1.0125,wind_normal_regime,hub_height_wind_speed_ms,wake_loss_pct,1.0
240009,2022-06-02 23:10:00,2022,6,153,23,10,solar,SOL_PAVAGADA,hub,PAV_HUB_5,PAV_S4_B01,,,250.0,2hour,120,intraday_reserve_planning,Intraday forecast / reserve planning,physical_weather_to_power_gaussian_residual,gaussian_residual_band,train,0.2038,0.2176,0.0,176.7526,176.7526,98.943,GOOD,6,CONFIRMED,0.91312,0.822,0.87,0.564,20.625,21.134,31.9,0.4179,194.362,56.094,1003.73,,,,,,,1.1899,79.99,,,37.657,21.687,1003.803,2,1,91.1023,83.9259,100.8005,117.6752,-9.6982,9.6982,3.8793,1,local_limit_clipping,0.6477,weather,WATCH,81.241,1.197,1.4,local_limit_clipping,poa_wm2,cloud_obstruction_probability,2.5
